304	199	626	443
322	199	605	448
330	198	591	453
320	199	588	453
312	199	594	452
316	196	590	454
315	198	590	457
306	202	591	458
315	200	587	461
295	202	590	464
300	201	590	464
298	204	587	464
285	201	592	465
282	201	597	464
280	203	598	466
277	201	597	468
275	204	595	471
271	204	597	473
272	204	597	476
266	204	593	478
260	206	593	478
251	206	593	480
248	205	596	479
227	206	601	479
214	205	613	481
219	205	615	483
216	207	609	486
199	206	611	485
203	207	609	487
192	208	608	487
191	209	606	488
171	211	607	489
162	212	612	490
155	211	614	492
152	210	616	492
144	213	610	495
140	210	605	494
130	211	604	494
120	212	605	497
108	212	608	496
95	213	609	496
84	216	609	497
77	215	613	496
61	213	616	498
53	214	617	500
49	214	613	500
37	212	613	503
22	212	617	503
12	212	617	503
6	215	615	503
0	214	614	506
0	215	613	508
0	214	611	506
0	216	603	504
0	216	599	505
0	215	592	507
0	214	584	508
0	217	574	507
0	215	565	511
0	216	556	510
0	216	544	510
0	219	533	510
0	219	520	508
0	221	511	509
0	223	502	508
0	225	492	507
0	222	484	507
0	222	477	507
0	221	469	507
0	225	463	506
0	224	452	506
0	220	443	506
0	221	435	506
0	221	422	503
0	224	409	503
0	228	399	501
0	226	388	498
0	226	373	494
0	227	362	491
0	228	350	489
0	230	339	488
0	231	329	489
0	232	316	491
0	233	306	493
0	230	295	494
0	230	282	496
0	222	274	499
0	228	261	499
0	218	251	498
0	223	246	495
0	222	235	497
0	220	222	497
0	219	213	497
0	218	203	495
0	217	196	494
0	218	183	494
0	221	171	492
0	220	162	483
0	226	157	473
0	237	150	463
12	242	158	440
27	283	167	428
171	334	195	404
303	375	242	370
425	403	281	346
661	430	314	319
901	450	361	290
1222	471	371	282
1273	475	376	274
1276	481	378	261
1270	486	378	251
1278	491	378	243
1260	494	375	236
1276	497	367	232
1271	503	360	226
1276	503	352	221
1284	505	341	219
1288	503	330	215
1298	505	314	213
1299	504	302	210
1310	507	288	210
1307	504	278	210
1304	504	274	210
1298	504	272	210
1297	503	270	210
1290	503	270	210
1289	504	268	210
1282	503	269	211
1278	502	269	211
1276	501	268	211
1273	502	268	211
1262	500	272	211
1261	499	272	212
1256	499	273	214
1257	498	273	214
1250	498	275	214
1248	498	274	213
1242	499	275	212
1244	496	274	213
1247	498	271	214
1247	496	269	215
1241	495	269	215
1238	496	269	214
1236	496	269	214
1238	497	266	215
1234	495	267	215
1230	494	268	216
1229	494	268	216
1228	494	267	217
1227	493	267	217
1219	493	269	217
1215	492	272	217
1216	494	272	217
1214	494	273	219
1218	493	270	220
1214	491	270	221
1210	491	271	221
1204	492	275	220
1205	491	276	221
1213	493	272	221
1212	493	271	222
1208	493	272	222
1207	493	274	222
1206	494	275	222
1211	494	274	222
1206	494	275	222
1203	494	278	222
1204	494	279	224
1206	493	278	225
1206	493	278	226
1205	492	279	226
1200	492	283	226
1204	493	285	227
1207	492	286	228
1206	490	287	228
1213	492	287	229
1215	493	286	229
1221	492	284	230
1220	492	286	230
1235	493	282	232
1230	492	284	232
1248	491	279	233
1243	491	280	233
1247	489	284	234
1251	488	284	234
1269	488	281	235
1276	488	278	235
1281	489	279	234
1286	487	278	235
1300	486	279	238
1309	485	275	238
1313	484	277	239
1314	484	281	240
1332	482	280	242
1334	478	281	243
1343	477	284	245
1346	476	288	246
1377	473	282	247
1376	472	286	247
1393	471	287	248
1395	469	293	248
1403	467	298	249
1432	465	294	251
1432	464	299	251
1453	460	301	253
1465	457	304	255
1478	458	308	255
1494	453	312	257
1526	450	313	259
1534	448	320	259
1572	441	321	263
1583	437	324	266
1610	428	317	272
1621	432	308	272
1626	439	306	270
1631	445	306	269
1431	456	312	265
1241	450	323	256
1328	454	339	245
1366	458	360	232
1305	461	378	217
1367	464	392	206
1356	467	396	198
1399	460	397	193
1461	464	400	188
1463	460	399	185
1521	457	391	182
1523	457	383	181
1561	450	370	181
1589	448	351	180
1626	446	340	180
1651	446	336	179
1710	447	334	177
1692	461	340	171
1708	469	342	166
1656	473	346	160
1552	480	353	154
1482	488	374	144
1459	487	385	139
1406	476	399	133
1417	474	423	125
1406	475	436	121
1398	469	449	116
1376	466	455	114
1375	470	460	113
1380	465	477	109
1387	469	487	107
1408	467	492	107
1408	443	494	109
1438	467	494	110
1411	460	495	109
1405	461	497	110
1423	456	496	111
1428	461	495	112
1424	456	494	113
1426	458	493	113
1439	456	492	113
1335	456	495	113
1297	454	498	113
1233	457	501	112
1272	461	504	112
1227	458	507	111
1296	464	509	111
1319	461	515	111
1335	461	517	111
1356	460	518	111
1265	456	521	110
1250	456	525	110
1266	459	530	109
1220	456	534	108
1214	465	542	107
1240	462	542	107
1276	462	544	107
1302	460	545	107
1309	460	545	108
1312	462	545	109
1239	463	548	108
1277	461	548	109
1289	462	550	109
1294	462	552	109
1321	463	551	111
1347	467	551	112
1339	469	551	113
1325	462	554	112
1336	471	556	112
1320	468	558	112
1356	470	557	113
1343	468	557	113
1335	469	560	112
1353	468	560	114
1369	471	558	115
1357	469	559	115
1348	474	560	115
1361	476	559	117
1357	472	560	117
1363	476	559	118
1358	477	560	119
1356	479	560	119
1375	476	559	120
1368	476	559	120
1349	473	561	119
1367	479	560	120
1331	479	563	119
1373	482	559	120
1339	485	562	119
1350	493	561	121
1295	484	569	119
1308	485	574	118
1313	489	577	117
1303	486	580	116
1304	492	583	114
1332	492	578	116
1310	494	579	116
1301	492	581	116
1282	492	585	115
1258	495	589	115
1262	500	592	114
1215	504	603	111
1222	500	608	111
1236	504	605	113
1205	509	614	111
1128	507	627	110
1212	511	631	111
1187	508	639	110
1215	512	637	113
1223	512	642	113
1233	512	647	113
1230	517	652	113
1300	517	649	115
1381	514	640	119
1395	512	634	121
1398	510	626	125
1448	505	619	128
1521	491	608	134
1467	503	598	139
1495	498	592	142
1445	507	586	145
1447	515	578	150
1443	513	570	153
1448	514	564	157
1470	511	555	162
1499	505	541	169
1467	496	528	176
1512	487	512	183
1497	477	484	195
1527	471	442	209
1547	452	409	224
1561	446	385	237
1559	431	377	252
1558	421	372	267
1546	413	375	278
1535	405	380	288
1518	405	387	294
1496	406	395	294
1481	408	400	292
1467	410	402	291
1460	409	400	292
1447	412	399	291
1437	413	395	292
1426	410	395	291
1420	414	392	289
1413	415	388	289
1401	413	386	291
1396	414	381	291
1390	412	374	292
1386	411	370	292
1376	410	369	292
1370	411	366	290
1362	410	364	290
1358	410	359	289
